timestamp,direction,is_win
2025-01-20,SHORT,1.0
2025-04-12,LONG,0.0
2025-06-27,LONG,1.0
2025-08-16,SHORT,1.0
2023-12-02,LONG,1.0
2024-11-07,LONG,1.0
2024-12-09,SHORT,1.0
2025-10-09,SHORT,1.0
2023-10-21,LONG,1.0
2024-06-08,SHORT,1.0
2024-08-14,LONG,1.0
2024-11-07,LONG,1.0
2024-12-30,SHORT,1.0
2025-06-11,LONG,0.0
2025-07-11,LONG,0.0
2025-12-11,,
2024-02-13,SHORT,1.0
2022-10-27,LONG,1.0
2024-01-17,SHORT,1.0
2025-05-08,LONG,1.0
2025-06-28,LONG,1.0
2025-08-28,SHORT,1.0
2023-12-30,SHORT,1.0
2024-09-10,LONG,1.0
2025-01-18,SHORT,1.0
2025-02-02,SHORT,1.0
2025-08-15,SHORT,0.0
2025-09-08,LONG,0.0
2025-11-24,LONG,0.0
2024-12-09,SHORT,0.0
2025-01-20,SHORT,1.0
2025-08-15,SHORT,0.0
2025-08-25,SHORT,0.0
2024-11-07,LONG,1.0
2024-09-09,LONG,1.0
2025-01-19,SHORT,1.0
2025-07-25,SHORT,1.0
2025-08-15,SHORT,1.0
2024-11-08,LONG,1.0
2025-01-19,SHORT,1.0
2023-12-05,LONG,1.0
2024-07-09,LONG,1.0
2024-09-10,LONG,1.0
2024-11-08,LONG,1.0
2024-12-09,SHORT,1.0
2025-08-15,SHORT,1.0
2025-09-20,SHORT,1.0
2026-01-13,,
2025-04-12,LONG,1.0
2020-10-28,SHORT,0.0
2021-02-03,LONG,1.0
2021-05-05,LONG,1.0
2021-05-15,SHORT,1.0
2023-04-19,SHORT,1.0
2023-06-05,SHORT,1.0
2024-08-14,LONG,0.0
2024-11-07,LONG,1.0
2025-01-20,SHORT,0.0
2025-07-25,SHORT,0.0
2025-09-08,LONG,0.0
2025-08-28,LONG,1.0
2024-06-09,SHORT,1.0
2024-09-10,LONG,1.0
2024-12-09,SHORT,1.0
2025-01-20,SHORT,1.0
2025-04-11,LONG,1.0
2025-07-24,SHORT,1.0
2021-02-04,LONG,1.0
2021-09-07,SHORT,1.0
2021-11-11,SHORT,0.0
2024-09-12,LONG,0.0
2024-11-07,LONG,1.0
2025-09-10,SHORT,1.0
2024-03-08,LONG,1.0
2024-07-09,LONG,1.0
2025-03-14,LONG,0.0
2025-05-08,LONG,1.0
2023-06-09,SHORT,0.0
2024-03-14,SHORT,1.0
2025-01-20,SHORT,1.0
2025-04-12,LONG,1.0
2025-05-08,LONG,1.0
2025-08-15,SHORT,1.0
2025-03-06,SHORT,1.0
2022-04-04,SHORT,1.0
2022-11-23,LONG,1.0
